orderid,itemid,userid,shopid,ctime,rating_star
1.53461E+14,11141930107,990331921,271963527,1700905975,5
1.18614E+14,11141930107,29586722,271963527,1666121398,5
1.60026E+14,11141930107,228195429,271963527,1707739898,5
1.26941E+14,11141930107,872616096,271963527,1674323219,5
1.31019E+14,11141930107,59217687,271963527,1677837711,5
1.39713E+14,11141930107,64379857,271963527,1686648283,5
1.56401E+14,11141930107,618188537,271963527,1703566733,5
1.48126E+14,11141930107,54908595,271963527,1695394612,5
1.0891E+14,11141930107,119605282,271963527,1655965784,5
1.13584E+14,11141930107,379314319,271963527,1661316128,5
1.45156E+14,11141930107,430180663,271963527,1692350255,5
1.53484E+14,11141930107,697658495,271963527,1700378847,5
1.38592E+14,11141930107,1006111842,271963527,1685936815,5
1.64774E+14,11141930107,106790204,271963527,1711610252,5
1.57791E+14,11141930107,58328674,271963527,1704706404,5
1.47477E+14,11141930107,854115192,271963527,1694403161,5
1.2291E+14,11141930107,276586603,271963527,1671015962,5
1.53308E+14,11141930107,347141753,271963527,1700382694,5
1.45193E+14,11141930107,506236641,271963527,1691905870,5
1.1838E+14,11141930107,74453008,271963527,1665478043,5
1.36523E+14,11141930107,438349292,271963527,1683517193,5
1.25655E+14,11141930107,90001188,271963527,1673419721,5
1.4847E+14,11141930107,182704711,271963527,1695359964,5
1.63072E+14,11141930107,1042679044,271963527,1709455543,5
1.53832E+14,11141930107,323430607,271963527,1701398388,5
1.16099E+14,11141930107,63692424,271963527,1663132073,5
1.58005E+14,11141930107,1105113424,271963527,1704993881,5
1.21785E+14,11141930107,15527955,271963527,1668837438,5
1.53795E+14,11141930107,395026961,271963527,1701312620,5
1.45718E+14,11141930107,61120793,271963527,1692600161,5
1.53106E+14,11141930107,46123450,271963527,1699848157,5
9.59376E+13,11141930107,48116329,271963527,1643689058,5
1.57191E+14,11141930107,225986476,271963527,1703913654,5
1.47875E+14,11141930107,101713377,271963527,1695619807,5
1.06421E+14,11141930107,697224635,271963527,1654951052,5
1.65009E+14,11141930107,380745563,271963527,1711618848,5
1.64675E+14,11141930107,1099650383,271963527,1712027829,5
1.50353E+14,11141930107,253154584,271963527,1697430011,5
1.49767E+14,11141930107,38639375,271963527,1697298538,5
1.64584E+14,11141930107,102886189,271963527,1711933243,5
1.61958E+14,11141930107,1121007712,271963527,1708404234,5
1.09048E+14,11141930107,329492181,271963527,1655977133,5
1.57079E+14,11141930107,315835184,271963527,1704235651,5
1.63961E+14,11141930107,380745563,271963527,1711398432,5
1.57346E+14,11141930107,396675169,271963527,1704249328,5
1.47068E+14,11141930107,103809115,271963527,1693915987,5
1.49535E+14,11141930107,172588566,271963527,1696308490,5
1.6233E+14,11141930107,95575770,271963527,1708832229,5
1.61497E+14,11141930107,102995788,271963527,1708420765,5
1.53377E+14,11141930107,777774011,271963527,1700271400,5
1.29041E+14,11141930107,161901081,271963527,1676589703,5
1.45159E+14,11141930107,252243198,271963527,1691923738,5
1.63097E+14,11141930107,296988202,271963527,1709609752,5
1.58057E+14,11141930107,407056493,271963527,1704889593,5
1.28448E+14,11141930107,832492457,271963527,1675953166,5
1.27924E+14,11141930107,161901081,271963527,1675322381,5
1.49092E+14,11141930107,101603731,271963527,1695914423,5
1.50939E+14,11141930107,1079028142,271963527,1698611888,5
1.3149E+14,11141930107,262802555,271963527,1678535474,5
1.45756E+14,11141930107,422317820,271963527,1692623203,5
1.31283E+14,11141930107,121934197,271963527,1678542080,5
1.28792E+14,11141930107,75829243,271963527,1676015008,5
1.57134E+14,11141930107,362975477,271963527,1704350997,5
1.2322E+14,11141930107,346584339,271963527,1670586879,5
1.56568E+14,11141930107,925322210,271963527,1703867669,5
1.56182E+14,11141930107,233200950,271963527,1705232343,5
1.11968E+14,11141930107,115326989,271963527,1659088674,5
1.58248E+14,11141930107,90953461,271963527,1705034198,5
1.30155E+14,11141930107,70049678,271963527,1677124141,5
1.54593E+14,11141930107,62360035,271963527,1702428139,5
1.59643E+14,11141930107,1147099002,271963527,1708342663,5
1.55051E+14,11141930107,373866932,271963527,1702349914,5
1.53387E+14,11141930107,360731535,271963527,1700306143,5
1.20666E+14,11141930107,100883054,271963527,1668706833,5
1.4589E+14,11141930107,178451788,271963527,1692717329,5
1.60154E+14,11141930107,112701971,271963527,1708254480,5
1.62359E+14,11141930107,294046414,271963527,1708937974,5
1.49505E+14,11141930107,816153314,271963527,1696306102,5
1.56865E+14,11141930107,444196609,271963527,1703764196,5
1.0628E+14,11141930107,227528422,271963527,1654573041,5
1.48358E+14,11141930107,82742195,271963527,1695263776,5
1.50389E+14,11141930107,67285792,271963527,1697251577,5
1.15541E+14,11141930107,108042950,271963527,1662626685,5
1.51674E+14,11141930107,58407945,271963527,1698472110,5
9.65411E+13,11141930107,197863296,271963527,1643562058,5
1.56797E+14,11141930107,93809122,271963527,1703653075,5
1.52382E+14,11141930107,270162699,271963527,1699515007,5
1.51249E+14,11141930107,991353862,271963527,1698384423,5
1.50448E+14,11141930107,209702733,271963527,1697261426,5
1.40132E+14,11141930107,786422695,271963527,1686825950,5
1.22693E+14,11141930107,854640235,271963527,1669869677,5
1.43739E+14,11141930107,110163890,271963527,1691017449,5
1.41219E+14,11141930107,147288611,271963527,1689075629,5
1.57551E+14,11141930107,212080063,271963527,1704359039,5
1.58667E+14,11141930107,69412459,271963527,1705475415,5
1.63139E+14,11141930107,1042679044,271963527,1709543512,5
1.50013E+14,11141930107,878066379,271963527,1698750585,5
1.47895E+14,11141930107,300965890,271963527,1694857514,5
1.58261E+14,11141930107,69412459,271963527,1705379131,5
1.48329E+14,11141930107,932384092,271963527,1695374671,5
1.53662E+14,11141930107,264466171,271963527,1700452370,5
1.55781E+14,11141930107,862801445,271963527,1702896033,5
1.14015E+14,11141930107,162466117,271963527,1663922257,5
1.21039E+14,11141930107,645417312,271963527,1668077624,5
1.60313E+14,11141930107,119429777,271963527,1707198336,5
8.75393E+13,11141930107,189241521,271963527,1634469704,5
1.56859E+14,11141930107,359857377,271963527,1705549851,5
