,rating_star
0,0.2000400120040007
1,0.2000400120040007
2,0.2000400120040007
3,0.2000400120040007
4,0.2000400120040007
5,0.2000400120040007
6,0.2000400120040007
7,0.2000400120040007
8,0.2000400120040007
9,0.2000400120040007
10,0.2000400120040007
11,0.2000400120040007
12,0.2000400120040007
13,0.2000400120040007
14,0.2000400120040007
15,0.2000400120040007
16,0.2000400120040007
17,0.2000400120040007
18,0.2000400120040007
19,0.2000400120040007
20,0.2000400120040007
21,0.2000400120040007
22,0.2000400120040007
23,0.2000400120040007
24,0.2000400120040007
25,0.2000400120040007
26,0.2000400120040007
27,0.2000400120040007
28,0.2000400120040007
29,0.2000400120040007
30,0.2000400120040007
31,0.2000400120040007
32,-4.900980294098035
33,0.2000400120040007
34,0.2000400120040007
35,0.2000400120040007
36,0.2000400120040007
37,0.2000400120040007
38,0.2000400120040007
39,0.2000400120040007
40,0.2000400120040007
41,0.2000400120040007
42,0.2000400120040007
43,0.2000400120040007
44,0.2000400120040007
45,0.2000400120040007
46,0.2000400120040007
47,0.2000400120040007
48,0.2000400120040007
49,0.2000400120040007
50,-4.900980294098035
