,rating_star
0,0.07694236224684471
1,0.8903330488563448
2,-2.3632296975816556
3,0.07694236224684471
4,0.07694236224684471
5,0.8903330488563448
6,-0.7364483243626553
7,-0.7364483243626553
8,-0.7364483243626553
9,0.07694236224684471
10,-1.5498390109721554
11,-1.5498390109721554
12,0.07694236224684471
13,0.07694236224684471
14,-0.7364483243626553
15,0.07694236224684471
16,0.8903330488563448
17,0.8903330488563448
18,0.8903330488563448
19,0.8903330488563448
20,-0.7364483243626553
21,0.8903330488563448
22,0.8903330488563448
23,0.8903330488563448
24,-2.3632296975816556
25,-0.7364483243626553
26,-0.7364483243626553
27,0.8903330488563448
28,-0.7364483243626553
29,0.07694236224684471
30,-2.3632296975816556
31,-0.7364483243626553
32,0.8903330488563448
33,0.8903330488563448
34,0.8903330488563448
35,-2.3632296975816556
36,-0.7364483243626553
37,0.8903330488563448
38,-0.7364483243626553
39,0.8903330488563448
40,0.07694236224684471
41,-0.7364483243626553
42,0.8903330488563448
43,0.07694236224684471
44,-0.7364483243626553
45,0.07694236224684471
46,0.8903330488563448
47,0.8903330488563448
48,0.8903330488563448
49,0.07694236224684471
50,-0.7364483243626553
51,-1.5498390109721554
52,0.8903330488563448
53,0.8903330488563448
54,0.8903330488563448
55,0.8903330488563448
56,0.8903330488563448
57,-0.7364483243626553
58,0.07694236224684471
59,0.8903330488563448
60,-2.3632296975816556
61,0.8903330488563448
62,0.8903330488563448
63,0.8903330488563448
64,0.8903330488563448
65,0.8903330488563448
66,0.07694236224684471
67,0.07694236224684471
68,-0.7364483243626553
69,-0.7364483243626553
70,-1.5498390109721554
71,0.8903330488563448
72,0.8903330488563448
73,0.8903330488563448
